player_id,firstname,lastname,position,height,weight,byear,rookie
554804,Doug,McDermott,Small Forward,80,225,1992,2014
550992,Cameron,Bairstow,Forward-Center,81,250,1990,2014
549969,Joe,Harris,Shooting Guard,78,225,1991,2014
522979,Will,Cherry,Point Guard,72,185,1991,2014
552309,Dwight,Powell,Power Forward,83,240,1991,2014
172642,Shavlik,Randolph,Power Forward,82,245,1983,2005
510954,Erick,Green,Guard,76,184,1991,2014
739968,Joffrey,Lauvergne,Forward-Center,83,220,1991,2014
830642,Jusuf,Nurkic,Center,84,280,1994,2014
712593,Gary,Harris,Shooting Guard,76,210,1994,2014
602411,Spencer,Dinwiddie,Point Guard,78,200,1993,2014
395365,Justin,Holiday,Guard-Forward,78,185,1989,2012
